X,Y,Intersection,All Motorized Vehicles AADT (24 hour volume) ,% Trucks,Pedestrians Not Factored,Bicycles Not Factored,Data Collection Date,,,,,
349643.117,5012785.084,ABBOTT ST W @ WEST RIDGE DR,5058,1.72%,165,29,15-Jul-15,,,,,
356552.335,5015257.147,ACCEPTANCE PL @ HOPE SIDE RD,8048,5.48%,1,11,13-Aug-15,,,,,
371323.7211,5029885.559,ACTON ST/AVALON PL @ STATION BLVD,1114,1.62%,425,308,14-May-15,,,,,
368642.871,5029543.934,ADELAIDE ST @ FIFTH AVE,2362,3.75%,516,228,15-Apr-15,,,,,
371019.2849,5023702.711,AIRPORT PKWY @ HUNT CLUB RD,43973,4.19%,137,29,11-Aug-15,,,,,
370077.7219,5025791.528,AIRPORT PKWY/WALKLEY RD NORTHBOUND OFF RAMP @,18649,2.78%,796,87,06-Aug-15,,,,,
366739.7019,5031016.574,ALBERT ST @ BRONSON AVE,12114,16.23%,1112,179,13-Aug-15,,,,,
371646.7299,5024869.52,ALBION RD @ 118 S OF BRENDA CR,3510,1.82%,138,46,13-Aug-15,,,,,
374709.8236,5017555.228,ALBION RD @ 210 S OF HIGH RD/EARL ARMSTRONG RD,10787,5.32%,0,4,01-Sep-15,,,,,
371946.7321,5024129.514,ALBION RD @ BANK ST,29980,3.82%,227,13,15-Oct-15,,,,,
372106.7329,5023740.511,ALBION RD @ BRIDLE PATH DR,12280,2.30%,81,41,16-Jul-15,,,,,
372217.734,5023470.509,ALBION RD @ D'AOUST AVE,9558,2.35%,65,52,13-Aug-15,,,,,
374010.0249,5019208.543,ALBION RD @ FINDLAY CREEK DR,14468,3.52%,6,16,06-Aug-15,,,,,
371869.4921,5024320.809,ALBION RD @ HUNT CLUB RD,33380,5.05%,255,15,15-Oct-15,,,,,
371869.4921,5024320.809,ALBION RD @ HUNT CLUB RD,32417,5.06%,241,33,16-Jul-15,,,,,
375092.751,5016674.461,ALBION RD @ RIDEAU RD,15257,8.18%,0,3,01-Sep-15,,,,,
371306.7011,5021353.784,ALERT RD/AIRPORT PKWY/UPLANDS DR RAMP 62,20877,4.48%,15,12,02-Dec-15,,,,,
370256.7219,5026800.535,ANOKA ST @ EDGE HILL PL,773,2.83%,90,4,25-Mar-15,,,,,
367022.7079,5024997.522,APELDOORN AVE @ NORMANDY CRES N,699,4.95%,8,1,10-Feb-15,,,,,
384166.757,5037724.573,APOLLO WAY @ CANEMORE CRES S,945,2.31%,9,0,07-Jan-15,,,,,
383768.7551,5037513.573,APOLLO WAY @ ORFORD CRES S,865,2.32%,13,0,07-Jan-15,,,,,
376239.7521,5012603.431,APPLE ORCHARD RD @ STAGECOACH RD,8169,9.16%,3,2,24-Nov-15,,,,,
375298.7329,5031841.566,APPLETON DR @ BEAVERPOND DR,1093,7.20%,94,5,12-Nov-15,,,,,
384776.3381,5035179.102,AQUAVIEW DR @ BLACKBURN BYPASS,11973,3.98%,263,4,31-Mar-15,,,,,
