NO_OF_PEDESTRIANS,TIME (hh),DAY,RED_LIGHT_CAMERA,COLLISION_ID,LOCATION,LONGITUDE,LATITUDE,Year,MONTH,Date,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,COLLISION_CLASSIFICATION,IMPACT_TYPE
0,Afternoon,0,0,13-138,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54007171,45.46417822,2013,Jan,4,01 - Clear,01 - Daylight,05 - Packed snow,03 - Yield sign,03 - P.D. only,03 - Rear end
0,Afternoon,1,0,13-170,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016469,45.46412069,2013,Jan,5,01 - Clear,01 - Daylight,02 - Wet,03 - Yield sign,03 - P.D. only,02 - Angle
0,Afternoon,0,0,13-313,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014095,45.46416422,2013,Jan,8,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,03 - Rear end
0,Morning,1,0,13-1187,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54003771,45.46414878,2013,Jan,26,01 - Clear,03 - Dawn,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Afternoon,1,0,13-1235,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54004896,45.46416345,2013,Jan,27,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Morning,0,0,13-1615,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54011845,45.46413488,2013,Feb,5,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Evening,0,0,13-1659,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54019906,45.46412827,2013,Feb,5,01 - Clear,07 - Dark,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Afternoon,0,0,13-1715,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54011783,45.46417132,2013,Feb,6,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,13-2672,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54017495,45.46419366,2013,Feb,28,01 - Clear,07 - Dark,02 - Wet,03 - Yield sign,03 - P.D. only,03 - Rear end
0,Night,0,0,13-2724,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016407,45.46415713,2013,Mar,1,01 - Clear,07 - Dark,02 - Wet,03 - Yield sign,03 - P.D. only,07 - SMV other
0,Afternoon,1,0,13-2771,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012895,45.46419328,2013,Mar,3,02 - Rain,01 - Daylight,02 - Wet,03 - Yield sign,02 - Non-fatal injury,03 - Rear end
0,Morning,0,0,13-3108,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54017557,45.46415723,2013,Mar,14,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,13-3614,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54009508,45.46415655,2013,Mar,27,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Evening,0,0,13-3657,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015183,45.46420076,2013,Mar,28,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
