RECORD,LOCATION & GEOID,TOTAL_COLLISIONS,2013_TOTAL,2014_TOTAL,2015_TOTAL,2016_TOTAL,2017_TOTAL,TOTAL_CYCLIST_COLLISIONS,2013_CYCLIST,2014_CYCLIST,2015_CYCLIST,2016_CYCLIST,2017_CYCLIST,TOTAL_PEDESTRIAN_COLLISIONS,2013_PEDESTRIAN,2014_PEDESTRIAN,2015_PEDESTRIAN,2016_PEDESTRIAN,2017_PEDESTRIAN,XCOORD,YCOORD,LONGITUDE,LATITUDE
1,105 S OF COMMISSIONER ST @ ALBERT ST (0016880),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,366666.27000,5030879.41000,-75.70955412590,45.41511538420
2,210 W OF MERIVALE RD @ WEST HUNT CLUB RD (0004688),27,2,5,9,5,6,1,0,0,1,0,0,0,0,0,0,0,0,365431.70300,5021829.49630,-75.72643737130,45.33379403490
3,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD (0013516),12,4,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,368235.70000,5022055.98000,-75.69063737500,45.33558400860
4,240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD (0014362),6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,383736.18000,5036677.46000,-75.49055771310,45.46556386450
5,250 N OF KLONDIKE RD @ MARCH RD (0013528),2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349101.82000,5024237.59000,-75.93455255360,45.35668365160
6,250 W OF STITTSVILLE MAIN ST @ HAZELDEAN RD (0013521),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349335.75000,5014747.45000,-75.93242001420,45.27127383310
7,275 E OF HAWTHORNE RD/OC TRANSPO TURNAROUND @ HUNT CLUB RD (0016285),3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,375721.23000,5026539.34000,-75.59449927120,45.37520656110
8,2ND LINE RD @ CABIN RD (0005821),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,375666.71980,5002663.34700,-75.59860202010,45.16038346400
9,2ND LINE RD @ OSGOODE MAIN ST (0005251),4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,376058.72110,5001706.32460,-75.59375304580,45.15173285880
10,2ND LINE RD btwn CABIN RD & LOMBARDY DR (__3ZA6LP),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375783.04528,5002373.08460,-75.59716383730,45.15776003810
11,2ND LINE RD btwn DALMENY RD & BELMEADE RD (__3ZA7IE),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377942.23684,4997321.92287,-75.57044329690,45.11209017970
12,2ND LINE RD btwn DALMENY RD & DALMENY RD (2) (__3ZBOYY),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377246.28023,4998940.11444,-75.57905276530,45.12672210490
13,2ND LINE RD btwn GOWAN GT & DALMENY RD (__3ZA728),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376791.34114,5000005.31141,-75.58468196640,45.13635309270
14,2ND LINE RD btwn OSGOODE MAIN ST & HUGH CRES (__3ZA7GQ),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,376122.19679,5001556.53056,-75.59296726260,45.15037862560
15,2ND LINE RD N @ DALMENY RD N (0005293),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,377276.72570,4998872.31100,-75.57867560960,45.12610889790
16,320 W OF HUNTMAR DR @ CAMPEAU DR (0016431),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348792.79000,5017828.37000,-75.93906620170,45.29903118510
17,3RD LINE RD btwn MCDIARMID RD & KAYCOURT DR (__3ZBPK8),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380054.73391,4997642.62880,-75.54355129560,45.11475416580
18,400 E OF TRAINYARDS DR @ INDUSTRIAL AVE (0014364),8,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,372091.63000,5030434.62000,-75.64030426600,45.41061265880
19,472 E OF CHESTNUT ST/UOTTAWA @ LEES AVE (0008222),3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369789.92000,5031040.34000,-75.66962712410,45.41628022880
20,4TH LINE RD btwn DALMENY RD & DALMENY RD (__3ZA7JH),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380945.24600,5001242.83550,-75.53168693010,45.14705252450
21,4TH LINE RD btwn FOREST RD & SPRINGHILL RD (__3ZA7I8),2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,379931.03159,5003871.08507,-75.54418721000,45.17080939660
